start_date,end_date
2020-01-01 00:00:00,2020-01-03 00:00:00
2020-01-03 00:00:00,2020-01-05 00:00:00
2020-01-05 00:00:00,2020-01-07 00:00:00
2020-01-07 00:00:00,2020-01-09 00:00:00
2020-01-09 00:00:00,2020-01-11 00:00:00
2020-01-11 00:00:00,2020-01-13 00:00:00
2020-01-13 00:00:00,2020-01-15 00:00:00
2020-01-15 00:00:00,2020-01-17 00:00:00
2020-01-17 00:00:00,2020-01-19 00:00:00
2020-01-19 00:00:00,2020-01-21 00:00:00
2020-01-21 00:00:00,2020-01-23 00:00:00
2020-01-23 00:00:00,2020-01-25 00:00:00
